family,interval_min,rule,direction,entry_after_bars,target_pct,stop_pct,calls,win_rate,avg_pnl_pts,median_pnl_pts,target_rate,stop_rate,eod_rate,ambiguous_rate,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_win_rate,val_2025_win_rate,confirm_2026_win_rate,train_2017_2024_avg_pnl_pts,val_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts
generic_first_window,10,first60_trend_gt_0.3,UP,6,0.2,0.2,355,51.267605633802816,0.6111554765669135,12.150000000001455,49.57746478873239,47.6056338028169,2.8169014084507045,0.8450704225352111,282,42,31,50.70921985815603,50.0,58.06451612903226,0.19503473113919215,-1.8255047619047104,7.697793548387096
generic_first_window,15,first60_trend_gt_0.3,UP,4,0.2,0.2,355,50.70422535211267,0.315392105299308,5.75,49.014084507042256,48.16901408450705,2.8169014084507045,1.6901408450704223,282,42,31,50.0,50.0,58.06451612903226,-0.1772914986480419,-1.8255047619047104,7.697793548387096
generic_first_window,10,first30_trend_lt_-0.2,DOWN,3,0.15,0.15,650,54.15384615384615,2.009860471043274,15.0729,54.0,45.84615384615385,0.15384615384615385,3.8461538461538463,533,67,50,53.65853658536586,55.223880597014926,57.99999999999999,1.5109929290396344,3.3853473880597447,5.484635999999998
generic_first_window,15,first30_trend_lt_-0.2,DOWN,2,0.15,0.15,650,52.61538461538462,1.2688223973509667,14.593237499999999,52.46153846153846,47.38461538461539,0.15384615384615385,6.3076923076923075,533,67,50,51.78236397748592,55.223880597014926,57.99999999999999,0.6072879611221859,3.3853473880597447,5.484635999999998
generic_first_window,10,first20_trend_lt_-0.1,DOWN,2,0.3,0.3,957,54.649947753396034,4.311024275450626,27.84525,50.57471264367817,41.17032392894462,8.254963427377222,0.522466039707419,795,93,69,54.465408805031444,53.76344086021505,57.971014492753625,3.4192685932154094,6.35468279569891,11.8311043478261
generic_first_window,10,first20_trend_lt_-0.1,DOWN,2,0.2,0.2,957,53.91849529780565,2.273842630263847,19.703000000000003,52.97805642633229,45.55903866248694,1.4629049111807733,0.9404388714733543,795,93,69,53.71069182389937,52.68817204301075,57.971014492753625,1.8157038958018885,2.016293548387104,7.899528985507248
generic_first_window,10,first30_trend_gt_0.1,UP,3,0.1,0.1,724,47.51381215469613,-0.7003863262042471,-9.447675,47.51381215469613,52.48618784530387,0.0,7.18232044198895,573,87,64,47.12041884816754,42.5287356321839,57.8125,-0.7616554104221203,-3.5508327586206905,3.7229890624999995
generic_first_window,10,first10_trend_gt_0.1,UP,1,0.3,0.3,644,46.42857142857143,-3.826889588397694,-28.037025,41.92546583850932,50.77639751552795,7.298136645962733,0.3105590062111801,516,76,52,44.18604651162791,53.94736842105263,57.692307692307686,-6.1782975676901435,2.1637539473683436,10.750756730769314
generic_first_window,10,first20_trend_lt_-0.15,DOWN,2,0.2,0.2,787,55.01905972045743,2.854157426381835,19.976599999999998,54.256670902160096,44.5997458703939,1.1435832274459974,1.1435832274459974,652,76,59,55.061349693251536,52.63157894736842,57.6271186440678,2.483928365893409,2.333698684210546,7.615923728813558
generic_first_window,10,first10_trend_gt_0.2,UP,1,0.1,0.1,355,45.352112676056336,-1.1609718217957747,-10.151100000000001,45.352112676056336,54.647887323943664,0.0,14.929577464788732,281,41,33,43.41637010676156,48.78048780487805,57.57575757575758,-1.8010738318060497,-0.6892792682926829,3.7035515151515153
