feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
pro_fii_agreement_futheavy_qflow_sum4,-0.054697,-1,up_tail,0.9,4.0,,51,14.87,49.02,35,71.43,51,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_sum4,-0.054697,-1,up_tail,0.925,4.0,,51,14.87,49.02,35,71.43,51,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_sum4,-0.054697,-1,up_tail,0.95,4.0,,51,14.87,49.02,35,71.43,51,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_mean4,-0.051452,-1,up_tail,0.85,1.0,,53,15.45,47.17,37,67.57,53,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_mean4,-0.051452,-1,up_tail,0.9,1.0,,53,15.45,47.17,37,67.57,53,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_mean4,-0.051452,-1,up_tail,0.925,1.0,,53,15.45,47.17,37,67.57,53,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_mean4,-0.051452,-1,up_tail,0.95,1.0,,53,15.45,47.17,37,67.57,53,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_posdays4,-0.051452,-1,up_tail,0.85,-0.0,,53,15.45,47.17,37,67.57,53,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_posdays4,-0.051452,-1,up_tail,0.9,-0.0,,53,15.45,47.17,37,67.57,53,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_posdays4,-0.051452,-1,up_tail,0.925,0.0,,53,15.45,47.17,37,67.57,53,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
pro_fii_agreement_futheavy_qflow_posdays4,-0.051452,-1,up_tail,0.95,-0.0,,53,15.45,47.17,37,67.57,53,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
FII_scall_rflow_z63,0.03337,1,two_tail,0.95,1.238865411295917,-1.0688263907770201,34,9.91,55.88,29,65.52,17,17,10,4.03,60.0,10,60.0,9,1,8,4.82,75.0,7,85.71,8,0,60.0,60.0,4.425000000000001
FII_sfut_qflow,-0.06226,-1,two_tail,0.95,0.012920547999999999,-0.014422259999999996,36,10.5,47.22,28,60.71,18,18,5,2.02,60.0,5,60.0,3,2,1,0.6,100.0,1,100.0,1,0,60.0,60.0,1.31
