date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-09-22,Pro,49531,65054,483618,243137,1507540,1383706,1877987,1299938,475821,521857,921580,378009,4422073,4785706
2023-09-22,TOTAL,397739,397739,3385483,3385483,8224436,6327526,8224436,6327526,2118166,1084542,2118166,1084542,21537892,21537892
2023-09-25,Client,222314,176190,1605271,229575,5889017,4463784,5744810,4976807,1516353,473564,874543,608760,14170303,12610686
2023-09-25,DII,44283,67652,142981,1734019,0,118233,0,0,0,0,182207,0,305497,1983878
2023-09-25,FII,96423,99965,1187659,1199478,1167094,1330218,1018716,969369,73186,81315,110798,76489,3935894,3474815
2023-09-25,Pro,52092,71305,476437,249276,1538982,1488292,1831566,1454350,476499,509894,898490,379524,4542196,4884512
2023-09-25,TOTAL,415112,415112,3412348,3412348,8595093,7400527,8595093,7400527,2066038,1064773,2066038,1064773,22953890,22953890
2023-09-26,Client,226277,178285,1620485,227587,5924752,4180726,5746067,4725991,1480020,461457,852147,602603,13893718,12332680
2023-09-26,DII,44163,69252,145405,1735591,0,120233,0,0,0,0,181212,0,309801,1986055
2023-09-26,FII,92035,99054,1182108,1212052,1104657,1291935,1000123,933928,68497,79090,104565,72078,3818322,3421800
2023-09-26,Pro,50914,66798,476575,249343,1422696,1479324,1705915,1412299,471419,510434,882012,376300,4411362,4692667
2023-09-26,TOTAL,413389,413389,3424573,3424573,8452105,7072218,8452105,7072218,2019936,1050981,2019936,1050981,22433202,22433202
2023-09-27,Client,234402,170961,1622499,217089,6346310,5238142,6172120,5561042,1285907,426393,758106,571219,15153653,13450537
2023-09-27,DII,43909,69235,148570,1742455,0,147851,0,0,0,0,177778,0,340330,1989468
2023-09-27,FII,91843,112691,1180316,1206119,1266029,1487716,1130240,1151982,56258,71114,90069,61923,4153277,3753024
