feature,ic_cc_dev,ic_oc_dev,ic_cc_val,ic_oc_val,ic_cc_confirm,ic_oc_confirm,signacc_p50_dev,signacc_n_dev,signacc_p50_val,signacc_n_val,signacc_p50_confirm,signacc_n_confirm,abs_ic_dev
DII_icall_rflow_sum5,-0.1097,-0.1119,0.1192,0.0558,-0.0333,-0.0506,6.87,262,36.22,196,47.79,136,0.1097
mkt_icall_dlogoi,-0.1081,-0.0753,0.017,0.0352,-0.1256,-0.0333,43.31,127,52.0,100,43.06,72,0.1081
DII_index_rflow_sum5,0.1081,0.128,0.0804,0.1372,0.0247,0.0276,60.15,133,54.48,134,53.49,86,0.1081
DII_index_rflow,0.1078,0.1521,-0.0019,0.0288,-0.0306,-0.0101,58.82,136,52.38,126,53.85,91,0.1078
Client_icall_rflow,-0.1056,-0.034,0.0561,0.0721,-0.0659,-0.0059,43.38,136,55.66,106,44.64,56,0.1056
Pro_icall_rflow,0.1042,0.0212,0.0307,-0.033,0.067,-0.0155,58.02,131,49.56,113,47.69,65,0.1042
Client_scall_qflow_sum3,-0.104,-0.0987,-0.0508,0.0155,-0.0755,0.0447,46.72,137,46.74,92,35.29,68,0.104
Client_scall_rflow_sum3,-0.1038,-0.0957,-0.0507,0.014,-0.0755,0.0483,43.48,138,47.56,82,41.27,63,0.1038
DII_ifut_rflow_sum3,0.1037,0.0868,-0.0556,0.0448,-0.0495,-0.05,57.25,131,47.95,146,46.85,111,0.1037
Client_index_rflow_sum3,-0.1037,-0.0237,-0.0158,0.0564,-0.0324,0.0511,39.84,123,48.84,86,46.58,73,0.1037
Pro_scall_qflow_sum3,0.1026,0.0974,0.0619,-0.016,0.0647,-0.0342,52.86,140,53.41,88,56.9,58,0.1026
Client_icall_ds,-0.1025,-0.0721,0.0163,0.0286,-0.1443,-0.0815,44.19,129,54.84,93,43.75,64,0.1025
DII_ifut_lvl,0.1021,0.0937,0.1434,0.188,0.0871,0.104,46.97,132,51.52,165,48.15,135,0.1021
Pro_icall_dl,-0.1017,-0.0797,0.0416,0.0498,-0.0457,0.0417,43.51,131,51.11,135,46.94,98,0.1017
DII_ifut_qflow_sum5,0.1013,0.1019,0.0754,0.1309,0.0462,0.0092,56.83,139,55.97,134,57.65,85,0.1013
Pro_ifut_ds,-0.1007,-0.0275,-0.0878,-0.0808,-0.0396,0.0624,42.75,131,41.84,98,43.64,55,0.1007
DII_sfut_ds,-0.097,-0.0629,-0.0135,-0.085,-0.031,-0.0168,45.26,137,47.42,97,43.06,72,0.097
Client_index_qflow_sum2,-0.0963,-0.0021,-0.0882,-0.0094,-0.0897,-0.0052,42.98,121,46.74,92,47.5,80,0.0963
FII_iput_qflow_sum5,0.0952,0.0499,0.0299,-0.0479,0.048,-0.1032,55.56,135,46.24,93,53.97,63,0.0952
Client_index_qflow,-0.0952,0.0201,-0.0777,-0.0235,-0.1065,0.0556,43.7,135,49.57,115,49.37,79,0.0952
DII_index_qflow_sum5,0.0947,0.1131,0.1048,0.1619,0.0246,0.0145,54.07,135,57.25,131,52.38,84,0.0947
Client_index_rflow,-0.0944,0.0234,-0.0573,0.0009,-0.0894,0.0634,42.42,132,49.09,110,48.65,74,0.0944
FII_scall_volshare,-0.0944,-0.0818,-0.0476,0.0053,0.0151,0.0066,57.38,122,50.49,103,,4,0.0944
Pro_scall_rflow_sum5,0.094,0.0744,0.0649,0.002,0.0962,-0.0057,60.29,136,50.63,79,62.9,62,0.094
Pro_icall_lvl,0.0934,0.0316,0.0426,0.0325,0.0081,-0.0469,52.34,128,51.61,93,45.31,64,0.0934
Client_index_qflow_sum3,-0.0914,-0.0234,-0.0376,0.0294,-0.0514,0.0646,42.06,126,51.72,87,47.06,68,0.0914
Pro_ifut_qflow_sum3,0.0913,0.0241,0.0453,-0.0021,0.0004,0.0637,56.15,130,52.0,100,44.29,70,0.0913
Pro_scall_qflow_sum5,0.0913,0.0776,0.0652,-0.0068,0.0926,0.0015,59.56,136,51.16,86,61.29,62,0.0913
