w_pro,w_fii,w_contra,dev_exact,dev_cov,dev_sign,val_exact,val_sign,conf_exact,conf_sign,conf_sign_n,dev_score
0.6,0.95,-0.3,30.03,32.94,62.35,35.48,57.65,28.92,50.0,64,49.422
0.5,0.8,-0.25,30.03,32.94,62.35,35.48,57.65,28.92,49.23,65,49.422
0.55,1.0,-0.25,31.78,39.36,61.17,34.68,57.14,31.93,52.05,73,49.414
0.65,0.1,0.3,38.78,75.22,56.5,37.5,54.73,38.55,53.77,106,49.412
0.35,0.0,0.3,39.36,76.68,56.1,39.11,54.49,38.55,53.77,106,49.403999999999996
0.3,0.0,0.25,39.36,76.68,56.1,38.71,54.19,38.55,53.77,106,49.403999999999996
0.45,0.9,-0.25,31.2,34.4,61.54,33.87,56.1,30.12,50.75,67,49.403999999999996
0.25,0.0,0.2,39.36,76.68,56.1,38.71,54.19,38.55,53.77,106,49.403999999999996
0.25,0.0,0.15,39.36,76.68,56.1,38.71,54.55,37.95,52.34,107,49.403999999999996
0.5,0.0,0.3,39.36,76.68,56.1,38.71,54.55,37.95,52.34,107,49.403999999999996
0.3,0.65,-0.15,32.07,39.94,60.95,34.27,56.18,32.53,51.95,77,49.398
0.75,0.0,-0.05,37.32,74.93,57.44,41.53,56.0,34.94,50.53,95,49.391999999999996
0.4,0.35,-0.25,28.28,19.24,63.46,28.63,58.54,25.3,55.88,34,49.388000000000005
0.9,0.05,0.25,38.19,74.64,56.85,38.71,53.59,36.14,50.96,104,49.385999999999996
0.4,0.0,0.05,38.48,76.97,56.65,38.31,53.59,35.54,50.98,102,49.38199999999999
0.75,0.0,0.1,38.48,76.97,56.65,37.9,53.59,35.54,50.49,103,49.38199999999999
0.85,0.0,0.1,38.48,76.97,56.65,38.71,54.25,35.54,50.49,103,49.38199999999999
0.55,0.0,0.05,38.48,76.97,56.65,39.11,54.97,35.54,50.0,104,49.38199999999999
0.8,0.0,0.1,38.48,76.97,56.65,38.31,53.59,35.54,50.98,102,49.38199999999999
0.6,0.1,-0.05,37.03,70.26,57.61,38.31,53.33,33.13,52.87,87,49.378
0.95,0.1,-0.1,37.03,70.26,57.61,39.52,54.35,33.73,52.27,88,49.378
0.5,0.8,-0.2,31.78,41.69,61.11,35.89,56.38,30.12,51.43,70,49.378
0.25,0.4,-0.1,31.78,41.69,61.11,35.89,56.38,30.12,51.43,70,49.378
0.7,0.3,0.1,37.61,70.85,57.22,36.69,54.61,37.35,52.58,97,49.376000000000005
1.0,0.45,0.15,37.61,70.85,57.22,37.1,54.55,37.35,52.58,97,49.376000000000005
0.9,0.4,0.15,37.61,70.85,57.22,37.1,54.55,37.35,52.58,97,49.376000000000005
0.35,0.15,0.05,37.61,70.85,57.22,36.69,54.61,37.35,52.58,97,49.376000000000005
0.9,0.2,-0.05,37.61,70.85,57.22,37.5,53.73,32.53,51.11,90,49.376000000000005
0.2,0.2,-0.15,25.36,9.91,65.38,25.81,57.69,21.08,52.63,19,49.37199999999999
0.4,0.4,-0.3,25.36,9.91,65.38,25.81,57.69,21.08,52.63,19,49.37199999999999
0.85,0.1,0.2,38.48,73.76,56.63,38.71,54.3,36.75,51.92,104,49.370000000000005
0.9,0.25,0.3,37.9,73.18,56.99,37.5,54.86,37.95,53.85,104,49.354
0.75,0.2,0.25,37.9,73.18,56.99,37.9,54.79,37.95,53.85,104,49.354
0.65,0.2,0.2,37.9,73.18,56.99,37.5,54.86,38.55,53.85,104,49.354
0.95,0.3,0.3,37.9,73.18,56.99,37.5,54.11,38.55,53.85,104,49.354
0.8,0.25,0.25,37.9,73.18,56.99,37.5,54.11,38.55,53.85,104,49.354
0.95,0.1,-0.05,37.32,72.59,57.37,40.32,55.63,33.73,51.61,93,49.349999999999994
0.9,0.1,-0.05,37.32,72.59,57.37,39.92,55.32,33.73,52.17,92,49.349999999999994
0.7,0.0,0.2,38.19,75.51,56.78,38.31,53.59,36.75,51.43,105,49.343999999999994
0.35,0.0,0.1,38.19,75.51,56.78,38.31,53.59,36.75,51.43,105,49.343999999999994
0.25,0.3,-0.3,23.32,0.87,66.67,21.37,66.67,18.07,33.33,3,49.330000000000005
0.85,0.1,-0.0,37.61,74.93,57.14,39.11,55.17,35.54,51.0,100,49.328
0.6,0.85,-0.25,31.2,39.07,61.39,35.48,56.67,30.12,51.47,68,49.31399999999999
0.75,0.0,0.15,38.19,76.38,56.72,38.31,53.9,36.75,50.94,106,49.30799999999999
0.75,0.0,0.2,38.19,76.38,56.72,38.71,53.55,37.35,51.89,106,49.30799999999999
