w_call,w_put,w_fut,dev_exact,dev_sign,val_sign,conf_sign,dev_score
0.9,0.4,0.5,37.9,56.7,52.78,52.63,49.18000000000001
1.0,0.6,0.4,37.9,56.7,54.17,49.0,49.18000000000001
0.1,0.5,0.8,37.32,57.07,56.93,55.1,49.17
0.6,0.2,0.1,39.36,55.71,52.98,50.98,49.17
0.8,0.5,0.3,37.32,57.07,54.17,49.49,49.17
0.1,0.5,0.7,36.73,57.46,56.3,56.12,49.168
1.0,0.7,0.6,37.9,56.68,53.68,53.54,49.16799999999999
0.2,0.9,0.8,38.19,56.48,58.16,58.0,49.164
0.2,0.6,0.5,38.19,56.48,56.34,57.58,49.164
0.6,0.3,1.0,37.32,57.06,52.94,56.31,49.164
0.6,0.2,0.3,38.48,56.28,52.03,52.08,49.16
0.6,0.8,0.9,36.44,57.63,55.47,55.0,49.154
0.8,0.3,0.3,39.36,55.67,52.63,51.02,49.146
0.8,0.5,0.7,37.61,56.83,53.03,56.12,49.141999999999996
0.2,0.1,0.6,37.61,56.83,50.0,56.31,49.141999999999996
0.9,0.6,0.8,37.61,56.83,53.03,56.0,49.141999999999996
0.2,1.0,0.7,39.07,55.84,55.86,57.43,49.132
0.9,0.2,0.2,39.65,55.45,52.26,49.02,49.13
0.8,0.2,0.1,39.65,55.45,52.87,49.51,49.13
1.0,0.5,0.7,37.9,56.61,52.52,54.26,49.126000000000005
0.9,0.7,0.5,37.9,56.61,54.01,53.06,49.126000000000005
0.7,0.0,0.6,37.32,56.99,50.34,51.0,49.122
0.5,0.6,0.6,37.32,56.98,55.97,55.45,49.116
