rule_id,feature,orientation,mode,quantile,threshold_hi,threshold_lo,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
pro_fii_spread_futheavy_lvl_posdays7|1|both|0.750,pro_fii_spread_futheavy_lvl_posdays7,1,both,0.75,1.0,0.0,0.112283,49,67.12,27,22,48.98,38,63.16,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|both|0.800,pro_fii_spread_futheavy_lvl_posdays7,1,both,0.8,1.0,0.0,0.112283,49,67.12,27,22,48.98,38,63.16,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|both|0.850,pro_fii_spread_futheavy_lvl_posdays7,1,both,0.85,1.0,0.0,0.112283,49,67.12,27,22,48.98,38,63.16,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|both|0.900,pro_fii_spread_futheavy_lvl_posdays7,1,both,0.9,1.0,0.0,0.112283,49,67.12,27,22,48.98,38,63.16,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_sum21|1|upper|0.750,pro_fii_spread_futheavy_lvl_sum21,1,upper,0.75,1.449879780172393,,0.237223,18,24.66,18,0,72.22,16,81.25,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_sum21|1|both|0.750,pro_fii_spread_futheavy_lvl_sum21,1,both,0.75,1.449879780172393,-1.7197451104603512,0.237223,36,49.32,18,18,50.0,29,62.07,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_mean21|1|upper|0.750,pro_fii_spread_futheavy_lvl_mean21,1,upper,0.75,0.06904189429392349,,0.237793,18,24.66,18,0,72.22,16,81.25,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_mean21|1|both|0.750,pro_fii_spread_futheavy_lvl_mean21,1,both,0.75,0.06904189429392349,-0.08189262430763578,0.237793,36,49.32,18,18,50.0,29,62.07,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays21|1|upper|0.750,pro_fii_spread_futheavy_lvl_posdays21,1,upper,0.75,0.9047619047619048,,0.171848,19,26.03,19,0,68.42,15,86.67,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays21|1|upper|0.800,pro_fii_spread_futheavy_lvl_posdays21,1,upper,0.8,0.9047619047619048,,0.171848,19,26.03,19,0,68.42,15,86.67,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays21|1|both|0.750,pro_fii_spread_futheavy_lvl_posdays21,1,both,0.75,0.9047619047619048,0.14285714285714285,0.171848,38,52.05,19,19,47.37,29,62.07,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays21|1|both|0.800,pro_fii_spread_futheavy_lvl_posdays21,1,both,0.8,0.9047619047619048,0.14285714285714285,0.171848,38,52.05,19,19,47.37,29,62.07,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_vs_client_futheavy_lvl_posdays21|-1|upper|0.600,smart_vs_client_futheavy_lvl_posdays21,-1,upper,0.6,-0.047619047619047616,,-0.129896,30,41.1,30,0,63.33,25,76.0,45,86.54,45,0,44.44,37,54.05,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_plus_contra_client_futheavy_lvl_sum4|-1|upper|0.750,smart_plus_contra_client_futheavy_lvl_sum4,-1,upper,0.75,0.1929879791590221,,-0.137542,19,26.03,19,0,73.68,17,82.35,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_plus_contra_client_futheavy_lvl_sum4|-1|upper|0.800,smart_plus_contra_client_futheavy_lvl_sum4,-1,upper,0.8,0.2293466084129442,,-0.137542,15,20.55,15,0,86.67,15,86.67,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_plus_contra_client_futheavy_lvl_sum4|-1|both|0.750,smart_plus_contra_client_futheavy_lvl_sum4,-1,both,0.75,0.1929879791590221,-0.08860172884409481,-0.137542,38,52.05,19,19,50.0,32,59.38,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
